epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8453,1.28202,2.1216,1.24723,0.83947,0.0832,0.18468,0.11846,1.33675,2.62479,1.26327,0.000468772,0.000468772,0.000468772
2,32.7373,1.40789,1.68719,1.34019,0.47779,0.29053,0.3077,0.16408,1.55684,2.04739,1.45703,0.000926393,0.000926393,0.000926393
3,43.6809,1.51005,1.80109,1.41554,0.48125,0.26734,0.20511,0.08467,1.98887,2.42061,1.92809,0.00136515,0.00136515,0.00136515
4,52.3864,1.53658,1.77621,1.43827,0.2471,0.31341,0.21814,0.10843,1.67612,2.00631,1.64085,0.00134412,0.00134412,0.00134412
5,60.7962,1.55545,1.73964,1.44359,0.64355,0.18897,0.20357,0.10169,1.90869,2.00685,1.72304,0.00131582,0.00131582,0.00131582
6,69.1405,1.52382,1.67537,1.42617,0.39022,0.33833,0.23288,0.11905,1.65096,1.74006,1.5525,0.00128753,0.00128753,0.00128753
7,77.5034,1.51314,1.6364,1.41029,0.38009,0.28023,0.26509,0.13188,1.73083,1.78512,1.58006,0.00125923,0.00125923,0.00125923
8,85.8451,1.47089,1.58318,1.39582,0.35063,0.33191,0.27559,0.14587,1.61011,1.74949,1.53857,0.00123094,0.00123094,0.00123094
9,94.254,1.46117,1.54529,1.37293,0.68575,0.26211,0.34727,0.17798,1.59732,1.55012,1.51449,0.00120265,0.00120265,0.00120265
10,102.655,1.45408,1.49378,1.36759,0.46002,0.27282,0.31862,0.17506,1.56424,1.58476,1.46831,0.00117435,0.00117435,0.00117435
11,111.042,1.44449,1.49235,1.39245,0.71543,0.25407,0.30499,0.17425,1.51361,1.52207,1.42803,0.00114606,0.00114606,0.00114606
12,119.351,1.40619,1.4258,1.35431,0.28794,0.35262,0.30157,0.16433,1.56258,1.5635,1.47378,0.00111776,0.00111776,0.00111776
13,127.717,1.38587,1.44601,1.34093,0.37549,0.3224,0.27661,0.1518,1.58532,1.64516,1.49979,0.00108947,0.00108947,0.00108947
14,136.115,1.40033,1.3912,1.33994,0.73208,0.24141,0.31909,0.17335,1.47737,1.42595,1.40699,0.00106118,0.00106118,0.00106118
15,144.499,1.37158,1.35353,1.33502,0.46782,0.34401,0.31822,0.18057,1.52289,1.52624,1.4298,0.00103288,0.00103288,0.00103288
16,152.873,1.36473,1.32188,1.31982,0.4276,0.3244,0.31552,0.1824,1.44222,1.44693,1.40368,0.00100459,0.00100459,0.00100459
17,161.288,1.36701,1.31851,1.31166,0.40796,0.26033,0.31211,0.17904,1.44429,1.39849,1.39734,0.000976293,0.000976293,0.000976293
18,169.687,1.33129,1.28909,1.29349,0.66548,0.32191,0.42886,0.21545,1.49105,1.45549,1.42069,0.000947999,0.000947999,0.000947999
19,178.088,1.31855,1.28236,1.29872,0.54371,0.3096,0.3569,0.19871,1.45652,1.36498,1.3945,0.000919704,0.000919704,0.000919704
20,186.481,1.30556,1.27544,1.27995,0.41822,0.35331,0.34636,0.20378,1.43866,1.33617,1.37612,0.00089141,0.00089141,0.00089141
21,194.896,1.31278,1.23836,1.27398,0.50269,0.42426,0.33756,0.19724,1.46492,1.41542,1.37415,0.000863116,0.000863116,0.000863116
22,203.327,1.26661,1.20964,1.2632,0.28466,0.38191,0.32865,0.17763,1.45666,1.36772,1.39899,0.000834822,0.000834822,0.000834822
23,211.724,1.27192,1.19482,1.2593,0.68973,0.37976,0.45432,0.25661,1.43815,1.37512,1.36549,0.000806528,0.000806528,0.000806528
24,220.104,1.27117,1.19327,1.25347,0.42292,0.49952,0.3808,0.20711,1.42827,1.30966,1.35586,0.000778233,0.000778233,0.000778233
25,228.571,1.25782,1.16396,1.24097,0.62733,0.43789,0.4273,0.2196,1.50659,1.38344,1.42934,0.000749939,0.000749939,0.000749939
26,236.986,1.24195,1.13839,1.23931,0.47278,0.34834,0.34165,0.20121,1.45455,1.39859,1.39474,0.000721645,0.000721645,0.000721645
27,245.424,1.22921,1.1157,1.22627,0.58606,0.43128,0.40076,0.22455,1.43996,1.33737,1.36711,0.000693351,0.000693351,0.000693351
28,253.804,1.19783,1.08777,1.21435,0.61458,0.46363,0.45843,0.27592,1.39169,1.2856,1.38111,0.000665057,0.000665057,0.000665057
29,262.264,1.21451,1.1014,1.21118,0.51661,0.47844,0.41725,0.25114,1.40331,1.28148,1.35742,0.000636762,0.000636762,0.000636762
30,270.666,1.19849,1.07995,1.20835,0.43459,0.42848,0.38237,0.21247,1.41877,1.27786,1.35689,0.000608468,0.000608468,0.000608468
31,279.091,1.19649,1.04427,1.20577,0.6282,0.43363,0.44577,0.25831,1.4404,1.26073,1.3744,0.000580174,0.000580174,0.000580174
32,287.497,1.1818,1.03188,1.1903,0.43506,0.47297,0.40433,0.22756,1.42147,1.26809,1.3453,0.00055188,0.00055188,0.00055188
33,295.953,1.14184,1.03601,1.18631,0.48352,0.39821,0.3922,0.21577,1.44088,1.30429,1.38174,0.000523586,0.000523586,0.000523586
34,304.391,1.14717,1.02037,1.18965,0.48374,0.5338,0.44595,0.26952,1.37768,1.22543,1.33819,0.000495291,0.000495291,0.000495291
35,312.817,1.16444,0.99676,1.18045,0.72849,0.38697,0.47234,0.25738,1.40392,1.23506,1.37637,0.000466997,0.000466997,0.000466997
36,321.194,1.13488,0.97375,1.16712,0.63532,0.48438,0.45809,0.25297,1.39651,1.24854,1.36734,0.000438703,0.000438703,0.000438703
37,329.634,1.10374,0.96719,1.16223,0.55485,0.46333,0.43752,0.25104,1.3829,1.21283,1.33365,0.000410409,0.000410409,0.000410409
38,338.539,1.10214,0.94881,1.15156,0.63327,0.45935,0.46922,0.27042,1.39219,1.27463,1.34304,0.000382115,0.000382115,0.000382115
